No,Bulan,Temperatur Rata-rata (oC),Temperatur Maksimal (oC),Temperatur Minimal (oC),Jumlah Curah Hujan (mm),Hari Hujan (hari),LPM/Sunshine Duration(%)
1,Januari,23.7,29,20.6,231.6,24,58
2,Februari,23.8,29.9,20.4,269.1,24,63
3,Maret,23.6,29.5,20.5,222.7,25,48
4,April,23.9,29.8,20.5,298.9,25,59
5,Mei,23.9,29.7,20.1,245.7,23,70
6,Juni,23.3,30,18.7,26.5,4,85
7,Juli,22.7,29.8,18.1,13.4,4,84
8,Agustus,23,30.5,17.9,0.2,4,83
9,September,23.8,31.9,18.2,55,3,86
10,Oktober,24.9,32.4,19.6,84.2,0.46,75
11,November,24.2,30.9,20,270.7,0.96,66
12,Desember,23.7,29.6,20.6,313.5,1.08,50
